,total_return,annualized_return,volatility,sharpe_ratio,sortino_ratio,max_drawdown,var_5,max_price,min_price,avg_volume,current_price,data_points
AAPL,114.16503730139142,20.995510332111955,22.714723258485193,0.8655570071987583,1.209950985523957,-32.075187969924826,-2.2523445546701297,176.42,71.3974,45169571.17080437,169.23,1007.0
GOOGL,89.08070590608862,17.28176274410227,21.94493674280193,0.7443670394068014,1.1509075556198953,-18.607501517532963,-2.165640571823463,1085.09,497.06,2107183.871896723,1053.4,1007.0
MSFT,130.19375672766418,23.200729466531,21.739639303379185,0.9772464304154526,1.4000740284751818,-18.78653497278768,-1.8585750325328414,86.85,34.98,30712613.148957297,85.54,1007.0
AMZN,193.85883358042065,30.96369168685651,29.599191934217057,0.99179476050437,1.37748586330668,-30.534461143853452,-2.442214950559951,1195.83,286.95,3880124.5670307847,1169.47,1007.0
NVDA,1120.0504413619167,87.00970842585423,37.684260931825555,1.792711518117339,3.029211224747405,-25.274074074073983,-2.9646719226180895,216.96,15.36,10761294.52631579,193.5,1007.0
